id,numberOfLoops,relevanceScore
Azure-powered large-scale AI training by OpenAI,15,13.549805852901828
Innovation by OpenAI,30,19.769318744550944
Microsoft’s own AI tool development,9,10.279220779220779
Bundling of OpenAI and Microsoft products,24,16.90750877089886
Economy-wide innovation dynamics,27,18.991798560916205
Microsoft ecosystem’s strength and customer base,42,26.18941678376662
Strength of Microsoft's competitors,34,22.261209267169008
Welfare of consumers not using Microsoft products,0,0.0
Welfare of Microsoft products users,9,10.100068017637675
Competition in AI-native and AI-driven markets,13,11.871923939493596
Microsoft's investment in OpenAI,45,27.483067577417415
Microsoft's disruptions,1,0.0
Microsoft’s exclusive cloud provision to OpenAI,26,18.680384149733996
Microsoft’s influence over AI development,16,13.744064372160345
Strategic independence of OpenAI,7,7.720454545454545
Resources accessible for other AI startups,2,6.538461538461538
